Name,Type,Cat.,Power,Acc.,PP,Effect
Electric Terrain,ELECTRIC,,—,—,10,Prevents all Pokémon from falling asleep for 5 turns.
Electrify,ELECTRIC,,—,—,20,Changes the target's move to Electric type.
Electro Ball,ELECTRIC,,—,100,10,"The faster the user, the stronger the attack."
Electroweb,ELECTRIC,,55,95,15,Lowers opponent's Speed.
Embargo,DARK,,—,100,15,Opponent cannot use items.
Ember,FIRE,,40,100,25,May burn opponent.
Encore,NORMAL,,—,100,5,Forces opponent to keep using its last move for 3 turns.
Endeavor,NORMAL,,—,100,5,Reduces opponent's HP to same as user's.
Endure,NORMAL,,—,—,10,"Always left with at least 1 HP, but may fail if used consecutively."
Energy Ball,GRASS,,90,100,10,May lower opponent's Special Defense.
Entrainment,NORMAL,,—,100,15,Makes target's ability same as user's.
Eruption,FIRE,,150,100,5,Stronger when the user's HP is higher.
Explosion,NORMAL,,250,100,5,User faints.
Extrasensory,PSYCHIC,,80,100,20,May cause flinching.
Extreme Evoboost,NORMAL,,—,—,1,Eevee-exclusive Z-Move. Sharply raises all stats.
Extreme Speed,NORMAL,,80,100,5,User attacks first.
Facade,NORMAL,,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed."
Fairy Lock,FAIRY,,—,—,10,Prevents fleeing in the next turn.
Fairy Wind,FAIRY,,40,100,30,
Fake Out,NORMAL,,40,100,10,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,DARK,,—,100,20,Sharply lowers opponent's Special Defense.
False Swipe,NORMAL,,40,100,40,Always leaves opponent with at least 1 HP.
Feather Dance,FLYING,,—,100,15,Sharply lowers opponent's Attack.
Feint,NORMAL,,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.
Feint Attack,DARK,,60,∞,20,Ignores Accuracy and Evasiveness.
Fell Stinger,BUG,,50,100,25,Drastically raises user's Attack if target is KO'd.
Fiery Dance,FIRE,,80,100,10,May raise user's Special Attack.
Final Gambit,FIGHTING,,—,100,5,Inflicts damage equal to the user's remaining HP. User faints.
Fire Blast,FIRE,,110,85,5,May burn opponent.
Fire Fang,FIRE,,65,95,15,May cause flinching and/or burn opponent.
Fire Lash,FIRE,,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
Fire Pledge,FIRE,,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.
Fire Punch,FIRE,,75,100,15,May burn opponent.
Fire Spin,FIRE,,35,85,15,"Traps opponent, damaging them for 4-5 turns."
First Impression,BUG,,90,100,10,"Although this move has great power, it only works the first turn the user is in battle."
Fissure,GROUND,,—,—,5,"One-Hit-KO, if it hits."
Flail,NORMAL,,—,100,15,"The lower the user's HP, the higher the power."
Flame Burst,FIRE,,70,100,15,May also injure nearby Pokémon.
Flame Charge,FIRE,,50,100,20,Raises user's Speed.
Flame Wheel,FIRE,,60,100,25,May burn opponent.
Flamethrower,FIRE,,90,100,15,May burn opponent.
Flare Blitz,FIRE,,120,100,15,User receives recoil damage. May burn opponent.
Flash,NORMAL,,—,100,20,Lowers opponent's Accuracy.
Flash Cannon,STEEL,,80,100,10,May lower opponent's Special Defense.
Flatter,DARK,,—,100,15,"Confuses opponent, but raises its Special Attack by two stages."
Fleur Cannon,FAIRY,,130,90,5,Sharply lowers user's Special Attack.
Fling,DARK,,—,100,10,Power depends on held item.
Floaty Fall,FLYING,,90,95,15,May cause flinching.
Floral Healing,FAIRY,,—,—,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Flower Shield,FAIRY,,—,—,10,Sharply raises Defense of all Grass-type Pokémon on the field.
Fly,FLYING,,90,95,15,"Flies up on first turn, attacks on second turn."
Flying Press,FIGHTING,,100,95,10,Deals Fighting and Flying type damage.
Focus Blast,FIGHTING,,120,70,5,May lower opponent's Special Defense.
Focus Energy,NORMAL,,—,—,30,Increases critical hit ratio.
Focus Punch,FIGHTING,,150,100,20,"If the user is hit before attacking, it flinches instead."
Follow Me,NORMAL,,—,—,20,"In Double Battle, the user takes all the attacks."
Force Palm,FIGHTING,,60,100,10,May paralyze opponent.
Foresight,NORMAL,,—,—,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Forest's Curse,GRASS,,—,100,20,Adds Grass type to opponent.
Foul Play,DARK,,95,100,15,Uses the opponent's Attack stat.
Freeze Shock,ICE,,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent."
Freeze-Dry,ICE,,70,100,20,May freeze opponent. Super-effective against Water types.
Freezy Frost,ICE,,90,100,15,Resets all stat changes.
Frenzy Plant,GRASS,,150,90,5,User must recharge next turn.
Frost Breath,ICE,,60,90,10,Always results in a critical hit.
Frustration,NORMAL,,—,100,20,Power decreases with higher Friendship.
Fury Attack,NORMAL,,15,85,20,Hits 2-5 times in one turn.
Fury Cutter,BUG,,40,95,20,Power increases each turn.
Fury Swipes,NORMAL,,18,80,15,Hits 2-5 times in one turn.
Fusion Bolt,ELECTRIC,,100,100,5,Power increases if Fusion Flare is used in the same turn.
Fusion Flare,FIRE,,100,100,5,Power increases if Fusion Bolt is used in the same turn.
Future Sight,PSYCHIC,,120,100,10,Damage occurs 2 turns later.
Gastro Acid,POISON,,—,100,10,Cancels out the effect of the opponent's Ability.
Gear Grind,STEEL,,50,85,15,Hits twice in one turn.
Gear Up,STEEL,,—,—,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
Genesis Supernova,PSYCHIC,,185,—,1,Mew-exclusive Z-Move.
Geomancy,FAIRY,,—,—,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
Giga Drain,GRASS,,75,100,10,User recovers half the HP inflicted on opponent.
Giga Impact,NORMAL,,150,90,5,User must recharge next turn.
Gigavolt Havoc,ELECTRIC,—,—,—,1,Electric type Z-Move.
Glaciate,ICE,,65,95,10,Lowers opponent's Speed.
Glare,NORMAL,,—,100,30,Paralyzes opponent.
Glitzy Glow,PSYCHIC,,90,100,15,Reduces damage from Special attacks.
Grass Knot,GRASS,,—,100,20,"The heavier the opponent, the stronger the attack."
Grass Pledge,GRASS,,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
Grass Whistle,GRASS,,—,55,15,Puts opponent to sleep.
Grassy Terrain,GRASS,,—,—,10,Restores a little HP of all Pokémon for 5 turns.
Gravity,PSYCHIC,,—,—,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Growl,NORMAL,,—,100,40,Lowers opponent's Attack.
Growth,NORMAL,,—,—,40,Raises user's Attack and Special Attack.
Grudge,GHOST,,—,—,5,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Guard Split,PSYCHIC,,—,—,10,Averages Defense and Special Defense with the target.
Guard Swap,PSYCHIC,,—,—,10,User and opponent swap Defense and Special Defense.
Guardian of Alola,FAIRY,,—,—,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.
Guillotine,NORMAL,,—,—,5,"One-Hit-KO, if it hits."
Gunk Shot,POISON,,120,80,5,May poison opponent.
Gust,FLYING,,40,100,35,Hits Pokémon using Fly/Bounce with double power.
Gyro Ball,STEEL,,—,100,5,"The slower the user, the stronger the attack."
Hail,ICE,,—,—,10,Non-Ice types are damaged for 5 turns.
Hammer Arm,FIGHTING,,100,90,10,Lowers user's Speed.
Happy Hour,NORMAL,,—,—,30,Doubles prize money from trainer battles.
Harden,NORMAL,,—,—,30,Raises user's Defense.
Haze,ICE,,—,—,30,Resets all stat changes.
Head Charge,NORMAL,,120,100,15,User receives recoil damage.
Head Smash,ROCK,,150,80,5,User receives recoil damage.
Headbutt,NORMAL,,70,100,15,May cause flinching.
Heal Bell,NORMAL,,—,—,5,Heals the user's party's status conditions.
Heal Block,PSYCHIC,,—,—,15,Prevents the opponent from restoring HP for 5 turns.
Heal Order,BUG,,—,—,10,User recovers half its max HP.
Heal Pulse,PSYCHIC,,—,—,10,Restores half the target's max HP.
Healing Wish,PSYCHIC,,—,—,10,The user faints and the next Pokémon released is fully healed.
Heart Stamp,PSYCHIC,,60,100,25,May cause flinching.
Heart Swap,PSYCHIC,,—,—,10,Stat changes are swapped with the opponent.
Heat Crash,FIRE,,—,100,10,"The heavier the user, the stronger the attack."
Heat Wave,FIRE,,95,90,10,May burn opponent.
Heavy Slam,STEEL,,—,100,10,"The heavier the user, the stronger the attack."
Helping Hand,NORMAL,,—,—,20,"In Double Battles, boosts the power of the partner's move."
Hex,GHOST,,65,100,10,Inflicts more damage if the target has a status condition.
Hidden Power,NORMAL,,60,100,15,Type and power depends on user's IVs.
High Horsepower,GROUND,,95,95,10,The user fiercely attacks the target using its entire body.
High Jump Kick,FIGHTING,,130,90,10,"If it misses, the user loses half their HP."
Hold Back,NORMAL,,40,100,40,Always leaves opponent with at least 1 HP.
Hold Hands,NORMAL,,—,—,40,Makes the user and an ally very happy.
Hone Claws,DARK,,—,—,15,Raises user's Attack and Accuracy.
Horn Attack,NORMAL,,65,100,25,
Horn Drill,NORMAL,,—,—,5,"One-Hit-KO, if it hits."
Horn Leech,GRASS,,75,100,10,User recovers half the HP inflicted on opponent.
Howl,NORMAL,,—,—,40,Raises user's Attack.
Hurricane,FLYING,,110,70,10,May confuse opponent.
Hydro Cannon,WATER,,150,90,5,User must recharge next turn.
Hydro Pump,WATER,,110,80,5,
Hydro Vortex,WATER,—,—,—,1,Water type Z-Move.
Hyper Beam,NORMAL,,150,90,5,User must recharge next turn.
Hyper Fang,NORMAL,,80,90,15,May cause flinching.
Hyper Voice,NORMAL,,90,100,10,
Hyperspace Fury,DARK,,100,∞,5,Lowers user's Defense. Can strike through Protect/Detect.
Hyperspace Hole,PSYCHIC,,80,∞,5,Can strike through Protect/Detect.
Hypnosis,PSYCHIC,,—,60,20,Puts opponent to sleep.
Ice Ball,ICE,,30,90,20,Doubles in power each turn for 5 turns.
Ice Beam,ICE,,90,100,10,May freeze opponent.
Ice Burn,ICE,,140,90,5,"Charges on first turn, attacks on second. May burn opponent."
Ice Fang,ICE,,65,95,15,May cause flinching and/or freeze opponent.
Ice Hammer,ICE,,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
Ice Punch,ICE,,75,100,15,May freeze opponent.
Ice Shard,ICE,,40,100,30,User attacks first.
Icicle Crash,ICE,,85,90,10,May cause flinching.
Icicle Spear,ICE,,25,100,30,Hits 2-5 times in one turn.
Icy Wind,ICE,,55,95,15,Lowers opponent's Speed.
Imprison,PSYCHIC,,—,—,10,Opponent is unable to use moves that the user also knows.
Incinerate,FIRE,,60,100,15,Destroys the target's held berry.
Inferno,FIRE,,100,50,5,Burns opponent.
Inferno Overdrive,FIRE,—,—,—,1,Fire type Z-Move.
Infestation,BUG,,20,100,20,"Traps opponent, damaging them for 4-5 turns."
Ingrain,GRASS,,—,—,20,User restores HP each turn. User cannot escape/switch.
Instruct,PSYCHIC,,—,—,15,Allows an ally to use a move instead.
Ion Deluge,ELECTRIC,,—,—,25,Changes Normal-type moves to Electric-type.
Iron Defense,STEEL,,—,—,15,Sharply raises user's Defense.
Iron Head,STEEL,,80,100,15,May cause flinching.
Iron Tail,STEEL,,100,75,15,May lower opponent's Defense.
Judgment,NORMAL,,100,100,10,Type depends on the Arceus Plate being held.
Jump Kick,FIGHTING,,100,95,10,"If it misses, the user loses half their HP."
Karate Chop,FIGHTING,,50,100,25,High critical hit ratio.
Kinesis,PSYCHIC,,—,80,15,Lowers opponent's Accuracy.
King's Shield,STEEL,,—,—,10,Protects the user and lowers opponent's Attack on contact.
Knock Off,DARK,,65,100,20,Removes opponent's held item for the rest of the battle.
Land's Wrath,GROUND,,90,100,10,
Laser Focus,NORMAL,,—,—,30,User's next attack is guaranteed to result in a critical hit.
Last Resort,NORMAL,,140,100,5,Can only be used after all other moves are used.
Lava Plume,FIRE,,80,100,15,May burn opponent.
Leaf Blade,GRASS,,90,100,15,High critical hit ratio.
Leaf Storm,GRASS,,130,90,5,Sharply lowers user's Special Attack.
Leaf Tornado,GRASS,,65,90,10,May lower opponent's Accuracy.
Leafage,GRASS,,40,100,40,Strikes opponent with leaves.
Leech Life,BUG,,80,100,10,User recovers half the HP inflicted on opponent.
Leech Seed,GRASS,,—,90,10,Drains HP from opponent each turn.
Leer,NORMAL,,—,100,30,Lowers opponent's Defense.
Let's Snuggle Forever,FAIRY,,190,—,1,Mimikyu-exclusive Z-Move.
Lick,GHOST,,30,100,30,May paralyze opponent.
Light of Ruin,FAIRY,,140,90,5,User receives recoil damage.
Light Screen,PSYCHIC,,—,—,30,Halves damage from Special attacks for 5 turns.
Light That Burns the Sky,PSYCHIC,,200,—,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.
Liquidation,WATER,,85,100,10,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.
Lock-On,NORMAL,,—,—,5,User's next attack is guaranteed to hit.
Lovely Kiss,NORMAL,,—,75,10,Puts opponent to sleep.
Low Kick,FIGHTING,,—,100,20,"The heavier the opponent, the stronger the attack."
Low Sweep,FIGHTING,,65,100,20,Lowers opponent's Speed.
Lucky Chant,NORMAL,,—,—,30,Opponent cannot land critical hits for 5 turns.
Lunar Dance,PSYCHIC,,—,—,10,The user faints but the next Pokémon released is fully healed.
Lunge,BUG,,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
Luster Purge,PSYCHIC,,70,100,5,May lower opponent's Special Defense.
Mach Punch,FIGHTING,,40,100,30,User attacks first.
Magic Coat,PSYCHIC,,—,—,15,Reflects moves that cause status conditions back to the attacker.
Magic Room,PSYCHIC,,—,—,10,Suppresses the effects of held items for five turns.
Magical Leaf,GRASS,,60,∞,20,Ignores Accuracy and Evasiveness.
Magma Storm,FIRE,,100,75,5,"Traps opponent, damaging them for 4-5 turns."
Magnet Bomb,STEEL,,60,∞,20,Ignores Accuracy and Evasiveness.
Magnet Rise,ELECTRIC,,—,—,10,User becomes immune to Ground-type moves for 5 turns.
Magnetic Flux,ELECTRIC,,—,—,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Magnitude,GROUND,,—,100,30,Hits with random power.
Malicious Moonsault,DARK,,180,—,1,Incineroar-exclusive Z-Move.
Mat Block,FIGHTING,,—,—,10,Protects teammates from damaging moves.
Me First,NORMAL,,—,—,20,User copies the opponent's attack with 1.5× power.
Mean Look,NORMAL,,—,—,5,Opponent cannot flee or switch.
Meditate,PSYCHIC,,—,—,40,Raises user's Attack.
Mega Drain,GRASS,,40,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,NORMAL,,120,75,5,
Mega Punch,NORMAL,,80,85,20,
Megahorn,BUG,,120,85,10,
Memento,DARK,,—,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Menacing Moonraze Maelstrom,GHOST,,200,—,1,Lunala-exclusive Z-Move.
Metal Burst,STEEL,,—,100,10,Deals damage equal to 1.5x opponent's attack.
Metal Claw,STEEL,,50,95,35,May raise user's Attack.
Metal Sound,STEEL,,—,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,STEEL,,90,90,10,May raise user's Attack.
Metronome,NORMAL,,—,—,10,User performs almost any move in the game at random.
Milk Drink,NORMAL,,—,—,10,User recovers half its max HP.
Mimic,NORMAL,,—,—,10,Copies the opponent's last move.
Mind Blown,FIRE,,150,100,5,User receives recoil damage.
Mind Reader,NORMAL,,—,—,5,User's next attack is guaranteed to hit.
Minimize,NORMAL,,—,—,10,Sharply raises user's Evasiveness.
Miracle Eye,PSYCHIC,,—,—,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Coat,PSYCHIC,,—,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,FLYING,,—,—,20,User performs the opponent's last move.
Mirror Shot,STEEL,,65,85,10,May lower opponent's Accuracy.
Mist,ICE,,—,—,30,User's stats cannot be changed for a period of time.
Mist Ball,PSYCHIC,,70,100,5,May lower opponent's Special Attack.
Misty Terrain,FAIRY,,—,—,10,Protects the field from status conditions for 5 turns.
Moonblast,FAIRY,,95,100,15,May lower opponent's Special Attack.
Moongeist Beam,GHOST,,100,100,5,Ignores the target's ability.
Moonlight,FAIRY,,—,—,5,User recovers HP. Amount varies with the weather.
